,mapper1,mapper2,Unnamed: 0,weight,avgDistance
117,brublanc,lani_martin,1395,6,0.0089377404972431
118,brublanc,mad354,236,1,0.00154739522636411
119,brublanc,nabulo carol,475,2,0.00626110831135359
120,brublanc,nawinecoff,239,1,0.00114478333283128
121,brublanc,patgp,240,1,0.0013466833701999401
122,brublanc,pkodame,241,1,0.00504396317552581
123,cheyenneb,danielzyt,242,1,0.00101699781867529
124,cheyenneb,hills95,487,2,0.00234383185208861
125,cheyenneb,jpgehringer5,491,2,0.004728010532233399
126,cheyenneb,kiggudde,495,2,0.005610101585944599
127,cheyenneb,lorlonyo1,750,3,0.0098713215041249
128,cheyenneb,naturinda,252,1,0.00139510529075467
129,cheyenneb,nawinecoff,253,1,0.00100253883541938
130,cheyenneb,patrick etomet,254,1,0.00135011503383898
131,cheyenneb,pkodame,255,1,0.0140576649875301
132,cheyenneb,smart d,513,2,0.00332664031858148
133,cheyenneb,tomm4,517,2,0.006606658287704979
134,chiaraponti,danielzyt,521,2,0.011875917697342961
135,chiaraponti,hills95,525,2,0.011820606427932189
136,chiaraponti,nabulo carol,264,1,0.00138919013128009
137,chiaraponti,naturinda,531,2,0.00626257031795838
138,chiaraponti,siima,267,1,0.00348298975071011
139,chomba chishala,michael montani,268,1,0.0301904548345763
140,codywhit,har9075,269,1,0.00294554398194427
141,codywhit,hills95,270,1,0.00130209402469608
142,codywhit,judithkamugisha,271,1,0.0018103901979106103
143,codywhit,kiggudde,272,1,0.0012378725434878698
144,codywhit,kyasiikane jorun,273,1,0.001097834248361
145,codywhit,nabulo carol,274,1,0.0017243190364872
146,codywhit,osm ebenezer,275,1,0.00111186662495085
147,codywhit,prosper1994,276,1,0.00117799705747673
148,coleedwards920,edict01,277,1,0.0305759183907951
149,coleedwards920,enock4seth,1683,6,0.009627584843998959
150,coleedwards920,jpgehringer5,855,3,0.00468346765355943
151,coleedwards920,kwaku_boateng,2030,7,0.02816921142498944
152,coleedwards920,nawinecoff,294,1,0.0011100502312457
153,coleedwards920,pkodame,2086,7,0.02480844670584829
154,coleedwards920,tomm4,302,1,0.0016121246415433
155,danieleoxoli,judithkamugisha,303,1,0.00106145522922857
156,danieleoxoli,mugabi henry,304,1,0.0012410545436799699
157,danieleoxoli,nabulo carol,305,1,0.00308216758802229
158,danielzyt,dygeza,306,1,0.00169078259153111
159,danielzyt,evlyn tumwah,615,2,0.0030789817841366
160,danielzyt,farydh,309,1,0.0011738186023036198
161,danielzyt,hills95,21856,64,0.1393713444091933
162,danielzyt,ingrid k,374,1,0.00141702703055811
163,danielzyt,jpgehringer5,751,2,0.00299570169961558
164,danielzyt,judithkamugisha,4202,11,0.030971755643309836
165,danielzyt,juliakleine,1558,4,0.0050330049055302105
166,danielzyt,juweni,3965,10,0.014124883579346251
167,danielzyt,kiggudde,9075,22,0.09044275014459857
168,danielzyt,kombe1207,1702,4,0.01753016457155715
169,danielzyt,lani_martin,428,1,0.00839777528724982
170,danielzyt,mandyw,429,1,0.0010265599445728301
171,danielzyt,mconant,430,1,0.00199882707400069
172,danielzyt,michael montani,431,1,0.0018022733605596102
173,danielzyt,nababi tracy,5694,13,0.026456767254403678
174,danielzyt,nabulo carol,15691,34,0.09115439999596436
175,danielzyt,naturinda,5814,12,0.02211893555220987
176,danielzyt,nawinecoff,491,1,0.0026931766597754103
177,danielzyt,patrick etomet,492,1,0.00134299754207741
178,danielzyt,pluna1,987,2,0.00519891876589099
179,danielzyt,siima,7021,14,0.02809112388758868
180,danielzyt,smart d,1019,2,0.0031618393437153197
181,danielzyt,tars4815,1536,3,0.0036992332627715802
182,danielzyt,wava stella,514,1,0.003914986593637371
183,danolad,mikew1123,1031,2,0.00240437340880716
