,name,institution,location
62,hitech youth mappers,uganda pentecostal university,0101000020E6100000AC730CC85E2FE53F3901971128443E40
63,geomatica udea,universidad de antioquia,0101000020E6100000B43CB4345C1119402E52CD516CE452C0
64,youthmappers de universidad de costa rica,universidad de costa rica -,0101000020E610000046065ED2BDDF23400749FA0F440355C0
65,grupo mesh,universidad de la guajira,0101000020E6100000F7FCD588050727408D56B5A4A33752C0
66,cartografos uniandes,universidad de los andes,0101000020E6100000A5129ED0EB6712406F1D77A5408452C0
67,jovenes mapeadores,universidad de panama,0101000020E6100000663ACF3351F72140E6C699CB32E253C0
68,upr youthmappers,universidad de puerto rico – rio piedras,0101000020E6100000F131B32A1D673240F96B0D00308350C0
69,youthmappers san buenaventura,universidad de san buenaventura - medellin,0101000020E6100000C1386EE7B104194035E37ED1AFE452C0
70,youthmappers at bogota - colombia,universidad distrital francisco jose de caldas,0101000020E6100000A9E793CB358312405FD8F5662F8452C0
71,pumagis hn,universidad nacional autónoma de honduras - honduras,0101000020E610000001B62858882B2C400121A34D9FCA55C0
72,grupo un,universidad nacional de colombia,0101000020E6100000340AEEAC828D12402CD62604618552C0
73,yeka street mga,universidad nacional de ingenieria,0101000020E610000047054EB681432840E3B496B8449155C0
74,youthmappers à n'zérékoré,université de n'zérékoré,0101000020E610000005F5882C2DEE1E40B577FCCD7AAB21C0
75,mapping club at uc davis,university of california - davis,0101000020E6100000BB53F0CAE4444340D6C56D34801E4DC0
76,ucc geographical society,university of cape coast,0101000020E6100000FA613A634E761440A57D18C682A7F4BF
77,geospatial information society,university of central florida,0101000020E6100000DC369DAE389A3C406DEF09C8CD4C54C0
78,university of dar es salaam youthmappers,university of dar es salaam,0101000020E610000082774DA3241F1BC09BB4A9BA479A4340
79,openstreetmap dhaka university,university of dhaka,0101000020E610000054F8D802E7BB3740E8667FA0DC665640
80,university of exeter british red cross missing maps,university of exeter,0101000020E610000061167F805A5E49400E4A9869FB470CC0
81,university of ghana youthmappers,university of ghana,0101000020E6100000D714C8EC2C9A164039AF5692E11DC9BF
82,university of liberia youth mappers,university of liberia,0101000020E6100000B70A18135132194025DA9FD5139725C0
83,geography club,university of maryland - college park,0101000020E61000007629BF56537E4340114D45CF523C53C0
84,umat youthmappers,university of mines and technology,0101000020E6100000DF62450DA63115403A77BB5E9A0200C0
85,geospatial engineering students association,university of nairobi,0101000020E61000000270A24C597CF4BF0E338F577B684240
86,lionmappersteam (lmt) enugu,university of nigeria - enugu,0101000020E61000001B03A1AB63B3194030ECD56C8A041E40
87,lionmappersteam (lmt) nsukka,university of nigeria - nsukka,0101000020E61000005B6A29C533751B40945BFF5316A21D40
88,unt geography club,university of north texas,0101000020E6100000FE277FF78E9A4040764B17073CB654C0
89,map by northwest,university of oregon,0101000020E6100000C36FF9FEBC054640C2FEEBDCB4764CC0
90,uniquemappersteam (umt) port harcourt,university of port harcourt,0101000020E6100000F5717ED4709B134084FE9D488BAE1B40
91,centre for geoinformation science,university of pretoria,0101000020E61000001439E9222AC139C0DABC6026403B3C40
92,urspatial geo-thinkers,university of redlands,0101000020E6100000D32934B511084140CED7D1DD1A6B4FC0
93,geography graduate student association,university of south carolina,0101000020E61000009A93179980FF40407F40B15FC14154C0
94,sc mappers,university of southern california,0101000020E610000071C0536DDC024140B2BB404981DB4EC0
95,student association board,university of twente,0101000020E61000001C531CACA41E4A40644DC00A4B671B40
96,university of vermont humanitarian mapping club,university of vermont,0101000020E6100000A926D2472A3D464079967BDC924C52C0
97,society of geography students,university of victoria,0101000020E6100000A89F26E9503B4840E68F696D1A584CC0
98,university of warwick resilience mapping society,university of warwick,0101000020E61000008F368E588B304A40ABC0DA62C8FBF8BF
99,gamma theta upsilon/geography club,university of wyoming,0101000020E61000004FA84CD64DA84440F34FBA3EBD9B52C0
100,maptime morgantown,west virginia university,0101000020E610000063D8BC056DD14340D584590D2EFD53C0
101,youth mappers africa,youth mappers africa,0101000020E6100000000000000000F03F0000000000000000
102,unaffiliated,unknown,0101000020E61000000000000000000000000000000000F03F
