,mapper1,mapper2,datemapped,weight,avgDistance
87,aboges26,patrick etomet,2016-10-21,16935,0.0014418061107326
88,aboges26,patrick etomet,2016-11-07,161,0.00111996828540223
89,aboges26,patrick etomet,2016-11-08,1110,0.00157817963591222
90,aboges26,patrick etomet,2016-11-09,1425,0.00115912471016166
91,aboges26,patrick etomet,2016-11-10,1014,0.00148175767780705
92,aboges26,patrick etomet,2016-11-11,8289,0.00143539220866358
93,aboges26,premson,2016-11-08,532,0.00125978664805356
94,aboges26,prosper1994,2016-11-07,149,0.00122100320967345
95,aboges26,prosper1994,2016-11-08,373,0.00117144452523832
96,aboges26,sbhoskins,2016-11-09,2549,0.00221288408748906
97,aboges26,sekcore,2016-11-09,1010,0.00156385674284685
98,aboges26,smart d,2016-10-16,1514,0.00170285223582487
99,aboges26,tomm4,2016-10-20,4,0.00133216774085795
100,aboges26,tomm4,2016-10-21,16,0.00163253101056476
101,aboges26,tomm4,2016-11-07,215,0.00115900064163029
102,aboges26,tomm4,2016-11-08,4658,0.00156799667939518
103,aboges26,tomm4,2016-11-11,17932,0.00170652483888562
104,aboges26,yukiejiang,2016-11-09,28118,0.00188312664125795
105,aboges26,zoyakaufmann,2016-03-26,113,0.00106642768153501
106,aboges26,zoyakaufmann,2016-03-28,7379,0.00213710291018286
107,abr2296,allan daniel,2017-04-14,180,0.00126341958833494
108,abr2296,esmanov,2016-09-23,24,0.00103901728578044
109,abr2296,hills95,2016-09-23,7734,0.001169508097865
110,abr2296,juliakleine,2016-09-23,12636,0.00278155614531016
111,abr2296,juliakleine,2016-10-04,624,0.0035891778209632
112,abr2296,kylerallen,2016-10-04,2965,0.00126139421505946
113,abr2296,nabulo carol,2016-09-23,3231,0.0027594308319416
114,abr2296,patrick etomet,2016-09-23,7544,0.00127750568276228
115,abr2296,wisniewskin,2016-09-23,240,0.0057617864905939
116,aclark1126,hills95,2017-04-17,4954,0.00783008686978873
117,aclark1126,prosper1994,2017-04-07,42074,0.00187936875111177
118,afo-kangah,hills95,2017-04-10,834,0.0171205695130951
119,afo-kangah,nababi tracy,2017-04-10,34,0.00108566299379476
120,afo-kangah,siima,2017-04-10,88,0.00173541172767826
121,aiko harriet tubby,danielzyt,2017-02-08,172,0.00134821796668721
122,aiko harriet tubby,kaluba micheal,2017-02-08,9,0.0135446753040757
123,aiko harriet tubby,mugabi henry,2017-02-10,7,0.00119001671743642
124,aiko harriet tubby,prosper1994,2017-02-08,146,0.00255612863508915
125,alice bonfiglio,danolad,2017-05-09,693,0.00133576544029626
126,alice bonfiglio,fliant,2017-04-04,2714,0.00121684239711763
127,alice bonfiglio,mugabi henry,2017-05-09,40,0.0929054094674647
128,allan daniel,danielzyt,2017-01-11,2712,0.00183750648063401
129,allan daniel,danielzyt,2017-02-07,12,0.00102757023205589
130,allan daniel,danielzyt,2017-02-08,9408,0.00163980713692198
131,allan daniel,danielzyt,2017-02-15,3817,0.00312752587753374
132,allan daniel,danielzyt,2017-02-16,250,0.00111727010628249
133,allan daniel,danielzyt,2017-02-27,336,0.00280052950163523
134,allan daniel,danielzyt,2017-04-27,44370,0.00214805249783224
135,allan daniel,fliant,2017-04-27,240,0.00143625939946955
136,allan daniel,fliant,2017-04-30,480,0.00117920965420621
137,allan daniel,judithkamugisha,2016-01-11,15,0.00120538771580967
138,allan daniel,judithkamugisha,2017-02-15,120,0.00612123306337062
139,allan daniel,juweni,2017-03-08,24238,0.00154806097960345
140,allan daniel,kaluba micheal,2017-02-08,83,0.00113537199284563
141,allan daniel,kaluba micheal,2017-02-12,3,0.00460758297417705
142,allan daniel,kombe1207,2017-02-07,110,0.00563039689374011
143,allan daniel,michael montani,2017-02-15,344,0.00133523312152717
144,allan daniel,mugabi henry,2017-02-08,555,0.00186814543841963
145,allan daniel,mugabi henry,2017-02-12,45,0.00776764615159211
146,allan daniel,mugabi henry,2017-02-19,8,0.00106733903281431
147,allan daniel,musawo,2017-01-11,145,0.00225801167362019
148,allan daniel,naturinda,2016-01-11,125,0.00155512894036812
149,allan daniel,naturinda,2017-02-15,7806,0.00153423945542918
150,allan daniel,naturinda,2017-02-19,56,0.00109859217972626
151,allan daniel,naturinda,2017-02-27,560,0.00131503632096419
152,allan daniel,naturinda,2017-03-08,1526,0.00128313263102378
153,allan daniel,okwang stephen,2017-02-17,96,0.00106401488182132
154,allan daniel,prosper1994,2017-02-08,5853,0.00112499640919437
155,allan daniel,prosper1994,2017-02-21,15,0.00100258800818731
156,allan daniel,prosper1994,2017-04-07,3949,0.00116689288937428
157,allan daniel,siima,2016-01-11,75,0.00125878547277236
158,allan daniel,siima,2017-02-15,2602,0.00300972061642075
159,allan daniel,siima,2017-02-16,80,0.00280614071659513
160,allan daniel,siima,2017-02-17,192,0.0020570094668257
161,allan daniel,siima,2017-03-08,58371,0.00142361354124046
162,allan daniel,tars4815,2017-04-07,806,0.00107334122767788
163,allan daniel,tugume dan,2017-02-08,312,0.00110518022353384
164,amarrington,cheyenneb,2016-11-19,217,0.0011694901724962
165,amarrington,hills95,2016-11-19,12,0.00111284261584584
166,amarrington,kiggudde,2016-11-19,81,0.0018264400794392
167,amarrington,patrick etomet,2016-11-19,272,0.00203546848833396
168,amarrington,pluna1,2016-11-19,51,0.00172017086987705
169,amolie,danielzyt,2016-01-14,931,0.00295757827115446
170,amuhogwe,hills95,2017-02-10,392,0.00254772131757743
171,amuronkatie,danielzyt,2016-10-29,8,0.00103585336207407
172,amuronkatie,juliakleine,2016-10-29,1070,0.00123355795022659
173,andrelly,jtodd38000,2016-11-03,1055,0.00470425995414055
174,andres_villada,maddyrich,2016-11-03,6196,0.00160260542169234
175,andres_villada,premson,2016-11-03,8218,0.00150882775403289
176,andres_villada,rcampbe1,2016-11-03,93,0.00102563794488943
177,andya96,mconant,2017-09-26,2,0.00100359274598257
178,aneth nemes,anthony acquah,2017-10-05,5,0.00215158910163463
179,aneth nemes,anthony acquah,2017-10-14,12,0.00178600131083555
180,aneth nemes,anthony acquah,2017-10-23,6,0.00157362673661379
181,aneth nemes,anthony acquah,2017-11-02,30,0.00375720653279066
182,aneth nemes,bigalxyz123,2017-10-05,286,0.00292435975452993
183,aneth nemes,bigalxyz123,2017-10-14,216,0.00177893116624942
184,aneth nemes,bigalxyz123,2017-10-23,82,0.00156444431034852
185,anthony acquah,bigalxyz123,2017-10-06,176,0.00154292281609301
186,anthony acquah,bigalxyz123,2017-10-09,549,0.0022416116743409
187,anthony acquah,bigalxyz123,2017-10-13,122,0.00154564524101538
188,anthony acquah,bigalxyz123,2017-10-14,270,0.00264144896356155
189,anthony acquah,bigalxyz123,2017-10-20,57,0.00157632718075714
190,anthony acquah,bigalxyz123,2017-10-21,182,0.00176077686264273
191,anthony acquah,bigalxyz123,2017-10-22,546,0.00319719148896319
192,anthony acquah,bigalxyz123,2017-10-24,254,0.00201756935798826
193,anthony acquah,bigalxyz123,2017-10-27,162,0.00197402248456969
194,anthony acquah,bigalxyz123,2017-10-28,644,0.00366643793568393
195,anthony acquah,bigalxyz123,2017-10-29,82,0.00219999891677274
196,anthony acquah,coleedwards920,2017-01-03,4922,0.00270955564580962
197,aosalia22,esmanov,2016-04-28,200,0.00142057105375582
198,aosalia22,jpgehringer5,2016-09-13,3468,0.00197642661942199
199,aosalia22,kylerallen,2016-09-13,288,0.00165712509415978
200,aosalia22,patrick etomet,2016-09-13,9,0.0104445955835294
201,aosalia22,reeseray789,2016-09-13,8508,0.00257909885649512
202,aosalia22,sydneynotman,2016-09-13,354,0.0011919479583704
203,arthurian arthur,mugabi henry,2017-02-08,2,0.00106302822804383
204,asfrod,maddyrich,2016-11-03,79,0.00113667968399383
205,asfrod,rcampbe1,2016-11-03,1245,0.00123718673296669
206,asturksever,bigalxyz123,2017-05-31,469,0.00188987243595888
207,balberto,juliakleine,2016-11-03,1731,0.00126383307058145
208,bashirmuguya,hills95,2017-02-11,175,0.0077167463217954
209,bashirmuguya,nababi tracy,2017-02-11,106,0.00104665456975843
210,bobwalter42,brublanc,2017-03-20,3456,0.00297704618145593
211,bobwalter42,brublanc,2017-03-21,72,0.00351474449698276
212,bobwalter42,brublanc,2017-04-04,197,0.00179432395537319
213,bobwalter42,brublanc,2017-04-16,184,0.00122626387083549
214,bobwalter42,brublanc,2017-04-25,3682,0.00305871107861606
215,bobwalter42,emily glaeser,2017-02-28,1199,0.00190606698969351
216,bobwalter42,ianmcvey,2017-03-20,17,0.00446675499266669
217,brb1693,nandjo,2017-04-20,974,0.0035926929645285
218,brublanc,danielzyt,2017-06-08,196,0.00370902780251049
219,brublanc,esteban suárez,2016-11-05,45,0.00145732213036009
220,brublanc,ianmcvey,2017-03-03,329,0.00131664374197608
221,brublanc,ianmcvey,2017-03-21,39,0.003961390466385
222,brublanc,ianmcvey,2017-04-11,33,0.00241849689566777
223,brublanc,ianmcvey,2017-04-24,25,0.00336394057429086
224,brublanc,jsolly,2017-02-02,362,0.00178236347816482
225,brublanc,jtodd38000,2016-09-19,12,0.00413302690484097
226,brublanc,kiggudde,2016-09-18,2710,0.00135450701762393
227,brublanc,kiggudde,2016-09-19,2605,0.00135800106944274
228,brublanc,la_nenemini,2017-07-22,101,0.00375512009214159
229,brublanc,la_nenemini,2017-07-23,397,0.00209609342639341
230,brublanc,lani_martin,2017-01-31,2456,0.0030691177636669
231,brublanc,lani_martin,2017-02-02,107179,0.0011833645974222
232,brublanc,lani_martin,2017-03-28,8,0.00104569681431224
233,brublanc,lani_martin,2017-04-04,13,0.00123822390109983
234,brublanc,lani_martin,2017-04-24,1050,0.00120864546988549
235,brublanc,lani_martin,2017-08-03,23,0.00119269195085644
236,brublanc,mad354,2017-02-14,192,0.00154739522636411
237,brublanc,nabulo carol,2017-06-13,15,0.00209620210029694
238,brublanc,nabulo carol,2017-07-11,1134,0.00416490621105665
239,brublanc,nawinecoff,2016-09-19,242,0.00114478333283128
240,brublanc,patgp,2017-01-31,144,0.00134668337019994
241,brublanc,pkodame,2017-02-14,112,0.00504396317552581
242,cheyenneb,danielzyt,2016-09-08,48,0.00101699781867529
243,cheyenneb,hills95,2016-09-08,20,0.00101761346266209
244,cheyenneb,hills95,2016-09-22,18702,0.00132621838942652
245,cheyenneb,jpgehringer5,2016-09-08,16,0.00116292693423882
246,cheyenneb,jpgehringer5,2016-09-22,2671,0.00356508359799458
247,cheyenneb,kiggudde,2016-09-08,28,0.00206091746876737
248,cheyenneb,kiggudde,2016-09-22,28001,0.00354918411717723
249,cheyenneb,lorlonyo1,2016-11-10,92,0.00114938702278137
250,cheyenneb,lorlonyo1,2016-12-01,928,0.00117643499766296
251,cheyenneb,lorlonyo1,2016-12-07,1280,0.00754549948368057
252,cheyenneb,naturinda,2016-09-22,6861,0.00139510529075467
253,cheyenneb,nawinecoff,2016-09-22,7,0.00100253883541938
254,cheyenneb,patrick etomet,2016-09-22,20658,0.00135011503383898
255,cheyenneb,pkodame,2016-11-02,422,0.0140576649875301
256,cheyenneb,smart d,2016-09-08,4,0.00107436250359436
257,cheyenneb,smart d,2016-09-22,379,0.00225227781498712
258,cheyenneb,tomm4,2016-09-08,16,0.00118397954422875
259,cheyenneb,tomm4,2016-09-22,1091,0.00542267874347623
260,chiaraponti,danielzyt,2017-04-12,58223,0.00221161589672224
261,chiaraponti,danielzyt,2017-04-13,8959,0.00966430180062072
262,chiaraponti,hills95,2017-04-17,2450,0.00801863621467161
263,chiaraponti,hills95,2017-05-19,812,0.00380197021326058
264,chiaraponti,nabulo carol,2017-04-05,975,0.00138919013128009
265,chiaraponti,naturinda,2017-04-05,4618,0.004909950407072
266,chiaraponti,naturinda,2017-04-17,64,0.00135261991088638
267,chiaraponti,siima,2017-04-05,9252,0.00348298975071011
268,chomba chishala,michael montani,2018-01-06,340,0.0301904548345763
269,codywhit,har9075,2016-09-22,996,0.00294554398194427
270,codywhit,hills95,2016-09-22,91549,0.00130209402469608
271,codywhit,judithkamugisha,2016-09-22,6084,0.00181039019791061
272,codywhit,kiggudde,2016-09-22,1465,0.00123787254348787
273,codywhit,kyasiikane jorun,2016-09-22,145,0.001097834248361
274,codywhit,nabulo carol,2016-09-22,66407,0.0017243190364872
275,codywhit,osm ebenezer,2016-09-22,687,0.00111186662495085
276,codywhit,prosper1994,2016-09-22,10721,0.00117799705747673
277,coleedwards920,edict01,2016-11-03,98,0.0305759183907951
278,coleedwards920,enock4seth,2016-11-03,452,0.00194644209497707
279,coleedwards920,enock4seth,2016-11-30,964,0.00185833163935475
280,coleedwards920,enock4seth,2016-12-01,1573,0.00143807984694785
281,coleedwards920,enock4seth,2016-12-04,444,0.00146245938744061
282,coleedwards920,enock4seth,2016-12-05,1892,0.00139843927147757
283,coleedwards920,enock4seth,2016-12-07,2159,0.00152383260380111
284,coleedwards920,jpgehringer5,2016-09-14,1094,0.00120126758284813
285,coleedwards920,jpgehringer5,2016-09-15,4004,0.00119169016547081
286,coleedwards920,jpgehringer5,2016-09-22,190647,0.00229050990524049
287,coleedwards920,kwaku_boateng,2016-11-03,452,0.00184834931881878
288,coleedwards920,kwaku_boateng,2016-11-30,849,0.00476690077564618
289,coleedwards920,kwaku_boateng,2016-12-01,1141,0.00443490830914905
290,coleedwards920,kwaku_boateng,2016-12-02,24,0.00278121317100819
