,auth_a,name,cnt,YouthMapper1,institution1,YouthMapper,institution
526,lordcob,tars4815,117,False,unknown,True,politecnico di milano
527,lorenzostucchi,tars4815,10118,True,politecnico di milano,True,politecnico di milano
528,marco443,tars4815,680,False,unknown,True,politecnico di milano
529,mark2295,tars4815,30,False,unknown,True,politecnico di milano
530,melody-a,tars4815,284,False,unknown,True,politecnico di milano
531,michael montani,tars4815,56877,True,politecnico di milano,True,politecnico di milano
532,mwesigwa irene,tars4815,1968,True,busitema university,True,politecnico di milano
533,mywayornohighway,tars4815,165,False,unknown,True,politecnico di milano
534,nababi tracy,tars4815,21101,True,uganda christian university - mbale university college,True,politecnico di milano
535,nabulo carol,tars4815,75311,True,uganda christian university - mbale university college,True,politecnico di milano
536,naturinda,tars4815,936,True,makerere university,True,politecnico di milano
537,oldcor,tars4815,3140,False,unknown,True,politecnico di milano
538,palolo,tars4815,912,False,unknown,True,politecnico di milano
539,piaco_dk,tars4815,1197,False,unknown,True,politecnico di milano
540,prosper1994,tars4815,10460,True,busitema university,True,politecnico di milano
541,rab,tars4815,20074,False,unknown,True,politecnico di milano
542,robbanda,tars4815,205,False,unknown,True,politecnico di milano
543,roys2728,tars4815,85,False,unknown,True,politecnico di milano
544,shazm,tars4815,5,False,unknown,True,politecnico di milano
545,siima,tars4815,48,True,makerere university,True,politecnico di milano
546,alan couchman-sawyer,dave stanley,20,False,unknown,False,unknown
547,aldoct,fayor,4,False,unknown,False,unknown
548,alecs01,alice bonfiglio,10,False,unknown,True,politecnico di milano
549,alecs01,aury88,83,False,unknown,False,unknown
550,alice bonfiglio,aury88,135,True,politecnico di milano,False,unknown
551,alecs01,byeongil bae,2,False,unknown,False,unknown
552,aury88,byeongil bae,26,False,unknown,False,unknown
553,alecs01,chiaraponti,18,False,unknown,True,politecnico di milano
554,aury88,chiaraponti,252,False,unknown,True,politecnico di milano
555,byeongil bae,chiaraponti,9,False,unknown,True,politecnico di milano
556,alecs01,danieleoxoli,39,False,unknown,True,politecnico di milano
557,alessandra scutti,danieleoxoli,84,False,unknown,True,politecnico di milano
558,asturksever,danieleoxoli,7,True,politecnico di milano,True,politecnico di milano
559,aury88,danieleoxoli,501,False,unknown,True,politecnico di milano
560,byeongil bae,danieleoxoli,3,False,unknown,True,politecnico di milano
561,carolina echavarria,danieleoxoli,259,True,politecnico di milano,True,politecnico di milano
562,alecs01,fabio cattaneo,22,False,unknown,True,politecnico di milano
563,alice bonfiglio,fabio cattaneo,50,True,politecnico di milano,True,politecnico di milano
564,aury88,fabio cattaneo,323,False,unknown,True,politecnico di milano
565,byeongil bae,fabio cattaneo,10,False,unknown,True,politecnico di milano
566,chiaraponti,fabio cattaneo,1170,True,politecnico di milano,True,politecnico di milano
567,danieleoxoli,fabio cattaneo,265,True,politecnico di milano,True,politecnico di milano
568,alecs01,frafra,47,False,unknown,True,politecnico di milano
569,alessandra scutti,frafra,82,False,unknown,True,politecnico di milano
570,alice bonfiglio,frafra,25,True,politecnico di milano,True,politecnico di milano
571,asturksever,frafra,17,True,politecnico di milano,True,politecnico di milano
572,aury88,frafra,644,False,unknown,True,politecnico di milano
573,byeongil bae,frafra,16,False,unknown,True,politecnico di milano
574,carolina echavarria,frafra,681,True,politecnico di milano,True,politecnico di milano
575,chiaraponti,frafra,45,True,politecnico di milano,True,politecnico di milano
576,danieleoxoli,frafra,4516,True,politecnico di milano,True,politecnico di milano
577,fabio cattaneo,frafra,17,True,politecnico di milano,True,politecnico di milano
578,fede_stat,frafra,669,False,unknown,True,politecnico di milano
579,fox91fox,frafra,393,False,unknown,True,politecnico di milano
580,alecs01,kilsedar,374,False,unknown,True,politecnico di milano
581,aury88,kilsedar,4856,False,unknown,True,politecnico di milano
582,brianna dean,kilsedar,364,False,unknown,True,politecnico di milano
583,byeongil bae,kilsedar,132,False,unknown,True,politecnico di milano
584,carolina echavarria,kilsedar,645,True,politecnico di milano,True,politecnico di milano
585,danieleoxoli,kilsedar,4644,True,politecnico di milano,True,politecnico di milano
586,fabio cattaneo,kilsedar,129,True,politecnico di milano,True,politecnico di milano
587,frafra,kilsedar,3227,True,politecnico di milano,True,politecnico di milano
588,alecs01,mark2295,5,False,unknown,False,unknown
589,alice bonfiglio,mark2295,10,True,politecnico di milano,False,unknown
590,aury88,mark2295,110,False,unknown,False,unknown
591,byeongil bae,mark2295,2,False,unknown,False,unknown
592,chiaraponti,mark2295,18,True,politecnico di milano,False,unknown
593,danieleoxoli,mark2295,61,True,politecnico di milano,False,unknown
594,fabio cattaneo,mark2295,12,True,politecnico di milano,False,unknown
595,frafra,mark2295,68,True,politecnico di milano,False,unknown
596,kilsedar,mark2295,394,True,politecnico di milano,False,unknown
597,lorenzostucchi,mark2295,113,True,politecnico di milano,False,unknown
598,alecs01,michael montani,16,False,unknown,True,politecnico di milano
599,alessandra scutti,michael montani,5361,False,unknown,True,politecnico di milano
600,alice bonfiglio,michael montani,5,True,politecnico di milano,True,politecnico di milano
601,asaro92,michael montani,99900,True,politecnico di milano,True,politecnico di milano
602,asturksever,michael montani,899,True,politecnico di milano,True,politecnico di milano
603,aury88,michael montani,243,False,unknown,True,politecnico di milano
604,byeongil bae,michael montani,6,False,unknown,True,politecnico di milano
605,carolina echavarria,michael montani,14919,True,politecnico di milano,True,politecnico di milano
606,chiaraponti,michael montani,5648,True,politecnico di milano,True,politecnico di milano
607,chomba chishala,michael montani,340,True,the university of zambia,True,politecnico di milano
608,danieleoxoli,michael montani,3157,True,politecnico di milano,True,politecnico di milano
609,edss,michael montani,18,False,unknown,True,politecnico di milano
610,fabio cattaneo,michael montani,18,True,politecnico di milano,True,politecnico di milano
611,frafra,michael montani,6824,True,politecnico di milano,True,politecnico di milano
612,herr_flupke,michael montani,4,False,unknown,True,politecnico di milano
613,judithkamugisha,michael montani,5316,True,makerere university,True,politecnico di milano
614,kilsedar,michael montani,1096,True,politecnico di milano,True,politecnico di milano
615,knihovnik,michael montani,18200,False,unknown,True,politecnico di milano
616,libor bednarik,michael montani,43791,False,unknown,True,politecnico di milano
617,lorenzostucchi,michael montani,10326,True,politecnico di milano,True,politecnico di milano
618,marco443,michael montani,10076,False,unknown,True,politecnico di milano
619,mark2295,michael montani,17,False,unknown,True,politecnico di milano
620,mcheckimport,michael montani,2190,False,unknown,True,politecnico di milano
621,alessandra scutti,asturksever,16,False,unknown,True,politecnico di milano
622,alessandra scutti,carolina echavarria,326,False,unknown,True,politecnico di milano
623,asturksever,carolina echavarria,49,True,politecnico di milano,True,politecnico di milano
624,aury88,carolina echavarria,6,False,unknown,True,politecnico di milano
625,allan daniel,amour_nyl,15,True,uganda christian university - mbale university college,False,unknown
626,allan daniel,daryr,12,True,uganda christian university - mbale university college,False,unknown
627,danielzyt,daryr,20799,True,busitema university,False,unknown
628,allan daniel,dosandriani,620,True,uganda christian university - mbale university college,False,unknown
629,armasari,dosandriani,63,False,unknown,False,unknown
630,dalik58,dosandriani,27,False,unknown,False,unknown
631,danielzyt,dosandriani,56300,True,busitema university,False,unknown
632,daryr,dosandriani,1,False,unknown,False,unknown
633,allan daniel,hawa adinani,44,True,uganda christian university - mbale university college,False,unknown
634,amour_nyl,hawa adinani,1,False,unknown,False,unknown
635,arshakerbrown,hawa adinani,103,False,unknown,False,unknown
636,brublanc,hawa adinani,4741,True,texas tech university,False,unknown
637,allan daniel,judithkamugisha,120,True,uganda christian university - mbale university college,True,makerere university
638,arnekimmig,judithkamugisha,51,False,unknown,True,makerere university
639,danielzyt,judithkamugisha,51883,True,busitema university,True,makerere university
640,ella_b,judithkamugisha,417,False,unknown,True,makerere university
641,hills95,judithkamugisha,458571,True,uganda christian university - mbale university college,True,makerere university
642,jasonmcclung,judithkamugisha,92,False,unknown,True,makerere university
643,allan daniel,juweni,3661,True,uganda christian university - mbale university college,True,gulu university
644,allan mkandawire,juweni,49,False,unknown,True,gulu university
645,danielzyt,juweni,14192,True,busitema university,True,gulu university
646,fatisya ilani yusuf,juweni,5,False,unknown,True,gulu university
647,gerdp,juweni,83,False,unknown,True,gulu university
648,hills95,juweni,125780,True,uganda christian university - mbale university college,True,gulu university
649,jnsp,juweni,2621,False,unknown,True,gulu university
650,judithkamugisha,juweni,27139,True,makerere university,True,gulu university
651,allan daniel,kombe1207,108,True,uganda christian university - mbale university college,True,university of dar es salaam
652,amour_nyl,kombe1207,8,False,unknown,True,university of dar es salaam
653,chrislaf,kombe1207,1,False,unknown,True,university of dar es salaam
654,danielzyt,kombe1207,625,True,busitema university,True,university of dar es salaam
655,eyevan,kombe1207,8,True,busitema university,True,university of dar es salaam
656,hills95,kombe1207,131,True,uganda christian university - mbale university college,True,university of dar es salaam
657,allan daniel,mjb3,56,True,uganda christian university - mbale university college,False,unknown
658,daryr,mjb3,14,False,unknown,False,unknown
659,hills95,mjb3,2182,True,uganda christian university - mbale university college,False,unknown
660,allan daniel,musawo,7,True,uganda christian university - mbale university college,True,busitema university
661,danielzyt,musawo,168,True,busitema university,True,busitema university
662,hills95,musawo,724,True,uganda christian university - mbale university college,True,busitema university
663,allan daniel,nababi tracy,742,True,uganda christian university - mbale university college,True,uganda christian university - mbale university college
664,amour_nyl,nababi tracy,121,False,unknown,True,uganda christian university - mbale university college
665,dalik58,nababi tracy,6,False,unknown,True,uganda christian university - mbale university college
666,danielzyt,nababi tracy,6702,True,busitema university,True,uganda christian university - mbale university college
667,eyevan,nababi tracy,966,True,busitema university,True,uganda christian university - mbale university college
668,fliant,nababi tracy,8575,True,kumi university,True,uganda christian university - mbale university college
669,hills95,nababi tracy,24728,True,uganda christian university - mbale university college,True,uganda christian university - mbale university college
670,jabahum,nababi tracy,85,True,busitema university,True,uganda christian university - mbale university college
671,judithkamugisha,nababi tracy,37896,True,makerere university,True,uganda christian university - mbale university college
672,kaluba micheal,nababi tracy,76,True,busitema university,True,uganda christian university - mbale university college
673,kiggudde,nababi tracy,144,True,makerere university,True,uganda christian university - mbale university college
674,kombe1207,nababi tracy,419,True,university of dar es salaam,True,uganda christian university - mbale university college
675,lowenz,nababi tracy,121,True,kumi university,True,uganda christian university - mbale university college
676,magiraud,nababi tracy,80,False,unknown,True,uganda christian university - mbale university college
677,manirakiza moses,nababi tracy,1095,True,busitema university,True,uganda christian university - mbale university college
678,marthaleena,nababi tracy,53,False,unknown,True,uganda christian university - mbale university college
679,mugabi henry,nababi tracy,407,True,busitema university,True,uganda christian university - mbale university college
680,mutenyo joan,nababi tracy,3946,True,uganda christian university - mbale university college,True,uganda christian university - mbale university college
681,allan daniel,naomiangelia,169,True,uganda christian university - mbale university college,False,unknown
682,hills95,naomiangelia,206,True,uganda christian university - mbale university college,False,unknown
683,allan daniel,naturinda,566,True,uganda christian university - mbale university college,True,makerere university
684,arnekimmig,naturinda,80,False,unknown,True,makerere university
685,bman,naturinda,16,False,unknown,True,makerere university
686,chiaraponti,naturinda,4256,True,politecnico di milano,True,makerere university
687,danielzyt,naturinda,15091,True,busitema university,True,makerere university
688,dankpoet,naturinda,149,False,unknown,True,makerere university
689,hills95,naturinda,292979,True,uganda christian university - mbale university college,True,makerere university
690,judithkamugisha,naturinda,40917,True,makerere university,True,makerere university
691,juweni,naturinda,31344,True,gulu university,True,makerere university
692,kiggudde,naturinda,5248,True,makerere university,True,makerere university
693,kilsedar,naturinda,256,True,politecnico di milano,True,makerere university
694,manirakiza moses,naturinda,152,True,busitema university,True,makerere university
695,mugabi henry,naturinda,2,True,busitema university,True,makerere university
696,nababi tracy,naturinda,3877,True,uganda christian university - mbale university college,True,makerere university
697,nabulo carol,naturinda,9033,True,uganda christian university - mbale university college,True,makerere university
698,allan daniel,piligab,28,True,uganda christian university - mbale university college,False,unknown
699,danielzyt,piligab,16,True,busitema university,False,unknown
700,hills95,piligab,411,True,uganda christian university - mbale university college,False,unknown
701,nabulo carol,piligab,286,True,uganda christian university - mbale university college,False,unknown
702,allan daniel,rlaurentinus,201,True,uganda christian university - mbale university college,False,unknown
703,allan daniel,siima,7322,True,uganda christian university - mbale university college,True,makerere university
704,amour_nyl,siima,112,False,unknown,True,makerere university
705,chiaraponti,siima,2040,True,politecnico di milano,True,makerere university
706,danielzyt,siima,27747,True,busitema university,True,makerere university
707,daryr,siima,4,False,unknown,True,makerere university
708,fliant,siima,5100,True,kumi university,True,makerere university
709,hills95,siima,99073,True,uganda christian university - mbale university college,True,makerere university
710,judithkamugisha,siima,62861,True,makerere university,True,makerere university
711,juweni,siima,16877,True,gulu university,True,makerere university
712,nababi tracy,siima,6395,True,uganda christian university - mbale university college,True,makerere university
713,nabulo carol,siima,21533,True,uganda christian university - mbale university college,True,makerere university
714,naturinda,siima,53057,True,makerere university,True,makerere university
715,nuru_kalulunga,siima,7,False,unknown,True,makerere university
716,prosper1994,siima,2350,True,busitema university,True,makerere university
717,allan daniel,sylwian_arup,12,True,uganda christian university - mbale university college,False,unknown
718,rlaurentinus,sylwian_arup,68,False,unknown,False,unknown
719,allan daniel,szjjdd,60,True,uganda christian university - mbale university college,False,unknown
720,daryr,szjjdd,5,False,unknown,False,unknown
721,geisel80,szjjdd,1,False,unknown,False,unknown
722,hills95,szjjdd,1594,True,uganda christian university - mbale university college,False,unknown
723,mjb3,szjjdd,14,False,unknown,False,unknown
724,allan daniel,tonny john,18,True,uganda christian university - mbale university college,False,unknown
725,danielzyt,tonny john,14,True,busitema university,False,unknown
726,ftcat,tonny john,2,False,unknown,False,unknown
727,hawa adinani,tonny john,3,False,unknown,False,unknown
728,hills95,tonny john,89,True,uganda christian university - mbale university college,False,unknown
729,kombe1207,tonny john,2,True,university of dar es salaam,False,unknown
730,lowenz,tonny john,1,True,kumi university,False,unknown
731,mahabala henry,tonny john,16,True,uganda christian university - mbale university college,False,unknown
732,moses kitwi,tonny john,4,True,uganda christian university - mbale university college,False,unknown
733,nababi tracy,tonny john,101,True,uganda christian university - mbale university college,False,unknown
734,nabulo carol,tonny john,10,True,uganda christian university - mbale university college,False,unknown
735,allan daniel,tri selasa,12,True,uganda christian university - mbale university college,False,unknown
736,hills95,tri selasa,432,True,uganda christian university - mbale university college,False,unknown
737,rlaurentinus,tri selasa,11,False,unknown,False,unknown
738,allan daniel,vickiemorine,4,True,uganda christian university - mbale university college,True,uganda christian university - mbale university college
739,esunget,vickiemorine,109,True,uganda christian university - mbale university college,True,uganda christian university - mbale university college
740,hills95,vickiemorine,413,True,uganda christian university - mbale university college,True,uganda christian university - mbale university college
741,nabulo carol,vickiemorine,647,True,uganda christian university - mbale university college,True,uganda christian university - mbale university college
742,nielkrokodil,vickiemorine,4,False,unknown,True,uganda christian university - mbale university college
743,prosper1994,vickiemorine,1106,True,busitema university,True,uganda christian university - mbale university college
744,tukei,vickiemorine,4,True,uganda christian university - mbale university college,True,uganda christian university - mbale university college
745,allan daniel,xicopath,23,True,uganda christian university - mbale university college,False,unknown
746,prosper1994,xicopath,163,True,busitema university,False,unknown
747,amigokima,brunoacafonso,3,False,unknown,False,unknown
748,amigokima,marvin bergner,1,False,unknown,False,unknown
749,brunoacafonso,marvin bergner,1,False,unknown,False,unknown
750,danielzyt,marvin bergner,36020,True,busitema university,False,unknown
751,kilsedar,marvin bergner,40,True,politecnico di milano,False,unknown
752,amour_nyl,gwantwa mwakibete,7,False,unknown,False,unknown
753,amour_nyl,manirakiza moses,16,False,unknown,True,busitema university
754,artamonovnik,manirakiza moses,3,False,unknown,True,busitema university
755,elkueb,manirakiza moses,4,False,unknown,True,busitema university
756,eyevan,manirakiza moses,16,True,busitema university,True,busitema university
757,lindatina,manirakiza moses,1,False,unknown,True,busitema university
758,amuhogwe,ratrun,2,True,gulu university,False,unknown
759,bashirmuguya,ratrun,5,True,busitema university,False,unknown
760,brb1693,ratrun,8,True,college of william and mary,False,unknown
761,danieleoxoli,ratrun,14,True,politecnico di milano,False,unknown
762,danielzyt,ratrun,54,True,busitema university,False,unknown
763,emily glaeser,ratrun,12,True,texas tech university,False,unknown
764,esunget,ratrun,10,True,uganda christian university - mbale university college,False,unknown
765,geosmart,ratrun,7,False,unknown,False,unknown
766,hillary mumbere,ratrun,10,False,unknown,False,unknown
767,hills95,ratrun,153,True,uganda christian university - mbale university college,False,unknown
768,ika baldess,ratrun,14,False,unknown,False,unknown
769,kaitlynh,ratrun,84,True,college of william and mary,False,unknown
770,klain890,ratrun,34,True,busitema university,False,unknown
771,livasa,ratrun,14,False,unknown,False,unknown
772,mugabi henry,ratrun,2,True,busitema university,False,unknown
773,olatubosun,ratrun,1450,True,the george washington university,False,unknown
774,omerklc755,ratrun,1,False,unknown,False,unknown
775,anaximandre,giraud colin,1,False,unknown,False,unknown
776,anaximandre,martintamarre,3,False,unknown,False,unknown
777,jean-yves longchamp,martintamarre,3,False,unknown,False,unknown
778,anaximandre,nicojp,1,False,unknown,False,unknown
779,giraud colin,nicojp,1,False,unknown,False,unknown
780,jean-yves longchamp,nicojp,1,False,unknown,False,unknown
781,martintamarre,nicojp,1,False,unknown,False,unknown
782,andrew gerrard,eero_sario,4,False,unknown,False,unknown
783,andrew gerrard,hugovk,30,False,unknown,False,unknown
784,danielzyt,hugovk,1863,True,busitema university,False,unknown
785,eero_sario,hugovk,30,False,unknown,False,unknown
786,elkueb,hugovk,58,False,unknown,False,unknown
787,hills95,hugovk,1453,True,uganda christian university - mbale university college,False,unknown
788,andrew gerrard,juhonoro,2,False,unknown,False,unknown
789,danielzyt,juhonoro,98,True,busitema university,False,unknown
790,eero_sario,juhonoro,177,False,unknown,False,unknown
791,elkueb,juhonoro,128,False,unknown,False,unknown
792,hills95,juhonoro,67,True,uganda christian university - mbale university college,False,unknown
793,hugovk,juhonoro,19,False,unknown,False,unknown
794,andrew gerrard,maggie in leith,33,False,unknown,False,unknown
795,kiggudde,maggie in leith,53,True,makerere university,False,unknown
796,andrew gerrard,mpuuga,10,False,unknown,False,unknown
797,danielzyt,mpuuga,4475,True,busitema university,False,unknown
798,eglatorre,mpuuga,450,False,unknown,False,unknown
799,elkueb,mpuuga,10,False,unknown,False,unknown
800,hills95,mpuuga,2642,True,uganda christian university - mbale university college,False,unknown
801,hugovk,mpuuga,781,False,unknown,False,unknown
802,markus jylhä,mpuuga,27,False,unknown,False,unknown
803,meryre,mpuuga,7,False,unknown,False,unknown
804,mjaia,mpuuga,13,False,unknown,False,unknown
805,andrew gerrard,petri eskelinen,18,False,unknown,False,unknown
806,cahjo,petri eskelinen,93,False,unknown,False,unknown
807,hills95,petri eskelinen,5128,True,uganda christian university - mbale university college,False,unknown
808,maggie in leith,petri eskelinen,187,False,unknown,False,unknown
809,andya96,bilbo huggins,62906,True,george mason university,False,unknown
810,andya96,gctreasurer,8,True,george mason university,False,unknown
811,bilbo huggins,gctreasurer,10,False,unknown,False,unknown
812,andya96,sac1234,7,True,george mason university,False,unknown
813,lmitch888,sac1234,2,False,unknown,False,unknown
814,mconant,sac1234,181,True,texas tech university,False,unknown
815,andyg77,secondedition,2,False,unknown,False,unknown
816,kreuzschnabel,secondedition,29,False,unknown,False,unknown
817,aneth nemes,j1scad,7,True,university of dar es salaam,False,unknown
818,cengiz söğütlü,j1scad,1,False,unknown,False,unknown
819,anthony acquah,jennaepstein,70,True,university of cape coast,False,unknown
820,anthony acquah,teresalangenkamp,1,True,university of cape coast,False,unknown
821,nesim,teresalangenkamp,3,False,unknown,False,unknown
822,antwerpen,archie,13,False,unknown,False,unknown
823,apanisile francis oluwaseun,lawot,16,False,unknown,True,federal university of technology - akure
824,darasimi,lawot,1201,False,unknown,True,federal university of technology - akure
825,armasari,dalik58,1,False,unknown,False,unknown
826,armasari,lani_martin,239,False,unknown,True,george mason university
827,arshakerbrown,lani_martin,4081,False,unknown,True,george mason university
828,bbboogie,lani_martin,4971,False,unknown,True,george mason university
829,binary fairy,lani_martin,24,False,unknown,True,george mason university
830,brublanc,lani_martin,3559,True,texas tech university,True,george mason university
831,christer1,lani_martin,552,False,unknown,True,george mason university
832,danielzyt,lani_martin,1480,True,busitema university,True,george mason university
833,dativa chuwa,lani_martin,288,True,university of dar es salaam,True,george mason university
834,dianawa_22,lani_martin,44,False,unknown,True,george mason university
835,emily glaeser,lani_martin,19226,True,texas tech university,True,george mason university
836,esther goga,lani_martin,233,True,university of dar es salaam,True,george mason university
837,evendene,lani_martin,8,False,unknown,True,george mason university
838,geocrazy,lani_martin,4373,False,unknown,True,george mason university
839,hills95,lani_martin,17179,True,uganda christian university - mbale university college,True,george mason university
840,armasari,mannequinbaby,62,False,unknown,False,unknown
841,dalik58,mannequinbaby,5,False,unknown,False,unknown
842,danielzyt,mannequinbaby,19489,True,busitema university,False,unknown
843,dosandriani,mannequinbaby,1056,False,unknown,False,unknown
844,hills95,mannequinbaby,19,True,uganda christian university - mbale university college,False,unknown
845,arnekimmig,murungi christopher,6,False,unknown,False,unknown
846,arnekimmig,olatubosun,31,False,unknown,True,the george washington university
847,bdiscoe,olatubosun,92,False,unknown,True,the george washington university
848,chukwumaa,olatubosun,130,False,unknown,True,the george washington university
849,dianatcarevskaia,olatubosun,1211,False,unknown,True,the george washington university
850,everydayduffy,olatubosun,96,False,unknown,True,the george washington university
851,godofsix,olatubosun,80,False,unknown,True,the george washington university
852,jaykayshow,olatubosun,162,False,unknown,True,the george washington university
853,leigh-ann,olatubosun,355,False,unknown,True,the george washington university
854,moses02,olatubosun,194,False,unknown,True,the george washington university
855,mstan080,olatubosun,16,False,unknown,True,the george washington university
856,arshakerbrown,emily glaeser,709,False,unknown,True,texas tech university
857,bin tuji,emily glaeser,2693,False,unknown,True,texas tech university
858,bobwalter42,emily glaeser,273,True,west virginia university,True,texas tech university
859,brublanc,emily glaeser,1664,True,texas tech university,True,texas tech university
860,diegoestebanz,emily glaeser,363,False,unknown,True,texas tech university
861,arshakerbrown,walterbroll,514,False,unknown,False,unknown
862,binary fairy,walterbroll,20,False,unknown,False,unknown
863,brublanc,walterbroll,10328,True,texas tech university,False,unknown
864,hawa adinani,walterbroll,218,False,unknown,False,unknown
865,lani_martin,walterbroll,577,True,george mason university,False,unknown
866,arshakerbrown,zakatar,62,False,unknown,False,unknown
867,binary fairy,zakatar,105,False,unknown,False,unknown
868,brublanc,zakatar,224,True,texas tech university,False,unknown
869,lani_martin,zakatar,204,True,george mason university,False,unknown
870,walterbroll,zakatar,8,False,unknown,False,unknown
871,artamonovnik,elkueb,2,False,unknown,False,unknown
872,artamonovnik,jacob ladwar,216,False,unknown,False,unknown
873,danielzyt,jacob ladwar,83,True,busitema university,False,unknown
874,artamonovnik,jochem van rijswijk,8,False,unknown,False,unknown
875,danielzyt,jochem van rijswijk,7,True,busitema university,False,unknown
876,elkueb,jochem van rijswijk,12,False,unknown,False,unknown
877,jkmakowka,jochem van rijswijk,64,False,unknown,False,unknown
878,artamonovnik,lemnis,4,False,unknown,False,unknown
879,daantje16,lemnis,4,False,unknown,False,unknown
880,danielzyt,lemnis,48,True,busitema university,False,unknown
881,jkmakowka,lemnis,108,False,unknown,False,unknown
882,artamonovnik,sanderson2708,4,False,unknown,False,unknown
883,jkmakowka,sanderson2708,14,False,unknown,False,unknown
884,klain890,sanderson2708,1,True,busitema university,False,unknown
885,arthurian arthur,sarrukh,42,True,uganda christian university - mbale university college,False,unknown
886,felix12,sarrukh,22,True,uganda christian university - mbale university college,False,unknown
887,hawa adinani,sarrukh,36,False,unknown,False,unknown
888,hills95,sarrukh,361,True,uganda christian university - mbale university college,False,unknown
889,nabulo carol,sarrukh,2283,True,uganda christian university - mbale university college,False,unknown
890,nielkrokodil,sarrukh,37,False,unknown,False,unknown
891,raducu1978,sarrukh,1,False,unknown,False,unknown
892,asaro92,veevee123,58,True,politecnico di milano,False,unknown
893,atamaadam,eyevan,128,False,unknown,True,busitema university
894,danielzyt,eyevan,36,True,busitema university,True,busitema university
895,atodd343,danolad,162,False,unknown,True,federal university of technology - akure
896,aubry1,stonemill1,1,False,unknown,False,unknown
897,bcnorwich,darwin's tripods,10,False,unknown,False,unknown
898,bcnorwich,gurglypipe,5,False,unknown,False,unknown
899,bcnorwich,hofoen,2,False,unknown,False,unknown
900,bcnorwich,jpennycook,12,False,unknown,False,unknown
901,bcnorwich,kieranc17,2,False,unknown,False,unknown
902,bcnorwich,monkeyguy78,11,False,unknown,False,unknown
903,bcnorwich,naomip,5,False,unknown,False,unknown
904,daveg46,naomip,1,False,unknown,False,unknown
905,dmgroom_ct,naomip,115,False,unknown,False,unknown
906,bcnorwich,ndrw6,306,False,unknown,False,unknown
907,bcnorwich,richardg6paj,1,False,unknown,False,unknown
908,legolash2oliam,richardg6paj,9,False,unknown,False,unknown
909,bcnorwich,thomasøderud,1,False,unknown,False,unknown
910,kreuzschnabel,thomasøderud,5,False,unknown,False,unknown
911,secondedition,thomasøderud,25,False,unknown,False,unknown
912,bcnorwich,tubbai11,3,False,unknown,False,unknown
913,peregrination,tubbai11,7,False,unknown,False,unknown
914,bdagdeviren,hasan hüseyin hacıyusufoğlu,1,False,unknown,False,unknown
915,bdiscoe,zwombie,42,False,unknown,False,unknown
916,danielzyt,zwombie,206,True,busitema university,False,unknown
917,hills95,zwombie,429,True,uganda christian university - mbale university college,False,unknown
918,mstan080,zwombie,1,False,unknown,False,unknown
919,nielkrokodil,zwombie,1,False,unknown,False,unknown
920,olatubosun,zwombie,98,True,the george washington university,False,unknown
921,beautifulmind,binary fairy,12,False,unknown,False,unknown
922,beautifulmind,bobwalter42,3,False,unknown,True,west virginia university
923,bin tuji,bobwalter42,95,False,unknown,True,west virginia university
924,ben-dd,johnwhelan,224,False,unknown,False,unknown
925,bishal9841,johnwhelan,15,True,tribhuvan university - institute of engineering - pashchimanchal campus,False,unknown
926,bvivi,johnwhelan,2,False,unknown,False,unknown
927,carau,johnwhelan,1,False,unknown,False,unknown
928,danielzyt,johnwhelan,222,True,busitema university,False,unknown
929,gctreasurer,johnwhelan,3,False,unknown,False,unknown
930,hills95,johnwhelan,128,True,uganda christian university - mbale university college,False,unknown
931,itsukishindo,johnwhelan,145,True,university of south carolina,False,unknown
932,ben-dd,ro sun,269,False,unknown,True,tribhuvan university - institute of engineering - pashchimanchal campus
933,danvyr,ro sun,79,False,unknown,True,tribhuvan university - institute of engineering - pashchimanchal campus
934,jason roy,ro sun,123,False,unknown,True,tribhuvan university - institute of engineering - pashchimanchal campus
935,bieluga,maryoolo,1,False,unknown,False,unknown
936,binary fairy,shingj10042,24,False,unknown,False,unknown
937,brublanc,shingj10042,2196,True,texas tech university,False,unknown
938,lani_martin,shingj10042,59,True,george mason university,False,unknown
939,blee31,nwasi,1068,False,unknown,False,unknown
940,brublanc,nwasi,3683,True,texas tech university,False,unknown
941,evendene,nwasi,21,False,unknown,False,unknown
942,la_nenemini,nwasi,23,True,universidad nacional de ingenieria,False,unknown
943,lani_martin,nwasi,2099,True,george mason university,False,unknown
944,maptain haddock,nwasi,35,False,unknown,False,unknown
945,bobwalter42,paul evance,8,True,west virginia university,False,unknown
946,brb1693,kaitlynh,396,True,college of william and mary,True,college of william and mary
947,bunkys,kaitlynh,55,False,unknown,True,college of william and mary
948,joria,kaitlynh,936,False,unknown,True,college of william and mary
949,brb1693,nandjo,544,True,college of william and mary,True,university of cape coast
950,kaitlynh,nandjo,10,True,college of william and mary,True,university of cape coast
951,brublanc,bvivi,8,True,texas tech university,False,unknown
952,brublanc,deemey95,759,True,texas tech university,False,unknown
953,brublanc,eric teller,33,True,texas tech university,False,unknown
954,brublanc,evendene,23492,True,texas tech university,False,unknown
955,brublanc,fatisya ilani yusuf,8,True,texas tech university,False,unknown
956,brublanc,kreitz19,121,True,texas tech university,False,unknown
957,evendene,kreitz19,32,False,unknown,False,unknown
958,brublanc,la_nenemini,279,True,texas tech university,True,universidad nacional de ingenieria
959,brublanc,mad354,44,True,texas tech university,True,cornell university
